product_name,description,price,stock,category,brand,color,weight
Gateway VoIP Grandstream GXW4008,Gateway analógico FXS de 8 puertos para conectar hasta 8 extensiones analógicas a telefonía IP.,3890.0,8,Gateways/ATAs,Grandstream,Negro,0.85 kg
Gateway VoIP Grandstream GXW4216,Gateway analógico FXS de alta densidad con 16 puertos RJ11 y conector Telco de 50 pines.,6800.0,6,Gateways/ATAs,Grandstream,Negro,2.1 kg
Gateway VoIP Grandstream GXW4224,Gateway analógico FXS de alta densidad de 24 puertos para migración masiva a telefonía IP.,8900.0,5,Gateways/ATAs,Grandstream,Negro,2.3 kg
Gateway VoIP Grandstream GXW4232,"Gateway analógico FXS de alta densidad con 32 puertos RJ11, montaje en rack.",10900.0,4,Gateways/ATAs,Grandstream,Negro,2.5 kg
Gateway VoIP Grandstream GXW4248,Gateway analógico FXS de ultra-alta densidad con 48 puertos y conectores Telco RJ21.,16900.0,2,Gateways/ATAs,Grandstream,Negro,3.2 kg
Gateway FXO Grandstream GXW4104,Gateway analógico de 4 puertos FXO para integrar hasta 4 líneas analógicas (Telmex) a conmutador IP.,3100.0,8,Gateways/ATAs,Grandstream,Negro,0.8 kg
Gateway FXO Grandstream GXW4108,Gateway analógico de 8 puertos FXO para conectar 8 líneas analógicas a redes VoIP.,4990.0,6,Gateways/ATAs,Grandstream,Negro,0.85 kg
Punto de Acceso Grandstream GWN7600,"Access Point inalámbrico Wave-2 802.11ac de rango medio, ideal para oficinas medianas.",1850.0,15,Redes inalámbricas,Grandstream,Blanco,0.55 kg
Punto de Acceso Grandstream GWN7600LR,Access Point de largo alcance para exteriores (Long Range) con certificación IP66.,2890.0,10,Redes inalámbricas,Grandstream,Blanco,0.9 kg
Punto de Acceso Grandstream GWN7602,AP Wi-Fi compacto para hoteles y sucursales con switch de 4 puertos Ethernet integrados.,1100.0,25,Redes inalámbricas,Grandstream,Blanco,0.4 kg
Punto de Acceso Grandstream GWN7605,"Access Point Wi-Fi 802.11ac Wave 2 de doble banda, soporta hasta 100 dispositivos.",1450.0,20,Redes inalámbricas,Grandstream,Blanco,0.5 kg
Punto de Acceso Grandstream GWN7605LR,"AP Wi-Fi para exteriores Wave-2 802.11ac, alcance de hasta 250 metros.",2490.0,12,Redes inalámbricas,Grandstream,Blanco,0.8 kg
Punto de Acceso Grandstream GWN7610,AP inalámbrico 802.11ac corporativo de alto rendimiento para campus u oficinas.,1950.0,8,Redes inalámbricas,Grandstream,Blanco,0.6 kg
Punto de Acceso Grandstream GWN7615,AP inalámbrico empresarial 802.11ac Wave 2 con tecnología MIMO 3x3:3 de doble banda.,1690.0,15,Redes inalámbricas,Grandstream,Blanco,0.52 kg
Punto de Acceso Grandstream GWN7630,"AP inalámbrico Wave-2 4x4:4 de alto rendimiento para interiores, capacidad de hasta 200 clientes.",2350.0,14,Redes inalámbricas,Grandstream,Blanco,0.58 kg
Punto de Acceso Grandstream GWN7630LR,AP para exteriores Wave-2 de alto rendimiento 4x4:4 MIMO con alcance de hasta 300m.,3980.0,8,Redes inalámbricas,Grandstream,Blanco,1.0 kg
Punto de Acceso Grandstream GWN7660,"Access Point Wi-Fi 6 (802.11ax) empresarial de doble banda, soporta hasta 256 dispositivos.",2850.0,18,Redes inalámbricas,Grandstream,Blanco,0.6 kg
Punto de Acceso Grandstream GWN7660LR,Access Point exterior Wi-Fi 6 (802.11ax) de largo alcance con tecnología MIMO 2x2.,4200.0,10,Redes inalámbricas,Grandstream,Blanco,0.95 kg
Punto de Acceso Grandstream GWN7662,Access Point Wi-Fi 6 con soporte de doble banda y tecnología MIMO 4x4 para zonas densas.,3190.0,12,Redes inalámbricas,Grandstream,Blanco,0.62 kg
Punto de Acceso Grandstream GWN7664,AP Wi-Fi 6 de alto rendimiento para interiores con MIMO 4x4:4 y velocidad agregada de 3.55 Gbps.,3950.0,10,Redes inalámbricas,Grandstream,Blanco,0.65 kg
Punto de Acceso Grandstream GWN7664LR,"AP exterior premium Wi-Fi 6 MIMO 4x4:4 con antena de alta ganancia, rango de hasta 300m.",5490.0,6,Redes inalámbricas,Grandstream,Blanco,1.1 kg
Punto de Acceso Grandstream GWN7661,Access Point Wi-Fi 6 de placa de pared (In-Wall) con puertos Ethernet RJ45 integrados.,2100.0,15,Redes inalámbricas,Grandstream,Blanco,0.42 kg
Punto de Acceso Grandstream GWN7624,AP de pared Wi-Fi 5 empresarial con switch Gigabit de 4 puertos e inyector PoE integrado.,1450.0,20,Redes inalámbricas,Grandstream,Blanco,0.45 kg
Punto de Acceso Grandstream GWN7625,Access Point Wi-Fi 5 de alto rendimiento para interiores con 2x2 MIMO y puertos Gigabit.,1590.0,15,Redes inalámbricas,Grandstream,Blanco,0.53 kg
Router VPN Grandstream GWN7000,Router Gigabit empresarial Multi-WAN con soporte VPN avanzado y balanceo de carga.,2100.0,8,Redes cableadas,Grandstream,Negro,0.8 kg
Router VPN Grandstream GWN7001,Router Multi-WAN Gigabit compacto con cortafuegos de hardware y compatibilidad con GDMS.,1590.0,12,Redes cableadas,Grandstream,Negro,0.6 kg
Router VPN Grandstream GWN7002,Router Gigabit Multi-WAN empresarial de alto rendimiento con 2 puertos SFP de fibra.,2350.0,10,Redes cableadas,Grandstream,Negro,0.75 kg
Router VPN Grandstream GWN7003,Router Multi-WAN con puertos SFP y múltiples opciones de equilibrio de carga empresarial.,2980.0,8,Redes cableadas,Grandstream,Negro,0.8 kg
Router Wi-Fi Grandstream GWN7052,Router inalámbrico de doble banda Gigabit AC1200 con soporte para VPN y redes Mesh.,1150.0,25,Redes inalámbricas,Grandstream,Negro,0.48 kg
Router Wi-Fi Grandstream GWN7052F,Router inalámbrico de doble banda Gigabit con puerto SFP WAN para conexión por fibra óptica.,1490.0,15,Redes inalámbricas,Grandstream,Negro,0.5 kg
Router Wi-Fi Grandstream GWN7062,Router inalámbrico Wi-Fi 6 (802.11ax) de doble banda con tecnología DL/UL MU-MIMO.,2100.0,18,Redes inalámbricas,Grandstream,Negro,0.55 kg
Switch Administrable Grandstream GWN7801,Switch L2+ administrable empresarial de 8 puertos Gigabit Ethernet y 2 puertos SFP.,3100.0,12,Switches,Grandstream,Gris,1.8 kg
Switch Administrable Grandstream GWN7801P,Switch L2+ administrable empresarial con 8 puertos Gigabit PoE+ y 2 puertos SFP (120W).,4890.0,10,Switches,Grandstream,Gris oscuro,2.1 kg
Switch Administrable Grandstream GWN7802,Switch L2+ administrable empresarial de 16 puertos Gigabit Ethernet y 4 puertos SFP.,4650.0,8,Switches,Grandstream,Gris,2.4 kg
Switch Administrable Grandstream GWN7802P,Switch L2+ administrable de 16 puertos Gigabit PoE+ y 4 puertos SFP (presupuesto 240W).,7900.0,6,Switches,Grandstream,Gris oscuro,2.8 kg
Switch Administrable Grandstream GWN7803,Switch L2+ administrable de 24 puertos Gigabit Ethernet y 4 puertos SFP para racks.,5890.0,8,Switches,Grandstream,Gris,3.1 kg
Switch Administrable Grandstream GWN7803P,Switch L2+ administrable de 24 puertos Gigabit PoE+ y 4 puertos SFP (presupuesto 360W).,9900.0,5,Switches,Grandstream,Gris oscuro,3.5 kg
Switch Administrable Grandstream GWN7811,Switch L3 administrable de alto rendimiento con 8 puertos Gigabit y 2 puertos 10Gb SFP+.,4800.0,6,Switches,Grandstream,Gris,1.9 kg
Switch Administrable Grandstream GWN7811P,Switch L3 administrable de 8 puertos Gigabit PoE+ y 2 puertos 10Gb SFP+ para fibra.,6500.0,4,Switches,Grandstream,Gris oscuro,2.2 kg
Switch Administrable Grandstream GWN7812,Switch L3 administrable con 16 puertos Gigabit y 4 puertos 10Gb SFP+ de alta velocidad.,6800.0,5,Switches,Grandstream,Gris,2.5 kg
Switch Administrable Grandstream GWN7812P,Switch L3 administrable de 16 puertos Gigabit PoE+ y 4 puertos 10Gb SFP+.,9500.0,3,Switches,Grandstream,Gris oscuro,2.9 kg
Switch Administrable Grandstream GWN7813,Switch L3 administrable de 24 puertos Gigabit y 4 puertos 10Gb SFP+.,8200.0,4,Switches,Grandstream,Gris,3.2 kg
Switch Administrable Grandstream GWN7813P,Switch L3 administrable de 24 puertos Gigabit PoE+ y 4 puertos 10Gb SFP+.,12800.0,3,Switches,Grandstream,Gris oscuro,3.6 kg
Punto de Acceso Ubiquiti UAP-AC-LITE,"Access Point compacto de doble banda 802.11ac, alcance de hasta 122 metros y puerto Gigabit.",1750.0,30,Redes inalámbricas,Ubiquiti,Blanco,0.35 kg
Punto de Acceso Ubiquiti UAP-AC-LR,"Access Point de largo alcance (Long Range) 802.11ac, antena optimizada para distancias largas.",2150.0,25,Redes inalámbricas,Ubiquiti,Blanco,0.45 kg
Punto de Acceso Ubiquiti UAP-AC-PRO,Access Point empresarial de alto rendimiento 802.11ac de 3x3 MIMO para interiores y exteriores.,3100.0,20,Redes inalámbricas,Ubiquiti,Blanco,0.52 kg
Punto de Acceso Ubiquiti UAP-AC-M,Access Point UniFi AC Mesh para exteriores de doble banda con antenas desmontables omnidireccionales.,1980.0,35,Redes inalámbricas,Ubiquiti,Blanco,0.3 kg
Punto de Acceso Ubiquiti UAP-AC-M-PRO,Access Point exterior UniFi AC Mesh Pro con rendimiento MIMO 3x3 de doble banda y puerto Gigabit.,3950.0,15,Redes inalámbricas,Ubiquiti,Blanco,0.85 kg
Punto de Acceso Ubiquiti U6-Lite,Access Point compacto Wi-Fi 6 de doble banda con tecnología MIMO 2x2 y soporte PoE.,2190.0,40,Redes inalámbricas,Ubiquiti,Blanco,0.3 kg
Punto de Acceso Ubiquiti U6-Plus,Access Point mejorado Wi-Fi 6 que ofrece mayor velocidad y mejor cobertura a un menor costo.,2490.0,30,Redes inalámbricas,Ubiquiti,Blanco,0.32 kg
Punto de Acceso Ubiquiti U6-Pro,Access Point empresarial de alto rendimiento Wi-Fi 6 de doble banda MIMO 4x4.,3790.0,20,Redes inalámbricas,Ubiquiti,Blanco,0.46 kg
Punto de Acceso Ubiquiti U6-LR,Access Point Wi-Fi 6 de largo alcance con soporte de hasta 300 conexiones simultáneas.,4200.0,15,Redes inalámbricas,Ubiquiti,Blanco,0.8 kg
Punto de Acceso Ubiquiti U6-Enterprise,AP de gama ultra alta Wi-Fi 6E con soporte para banda de 6 GHz y puerto Ethernet a 2.5 Gbps.,6900.0,8,Redes inalámbricas,Ubiquiti,Blanco,0.96 kg
Punto de Acceso Ubiquiti U6-Mesh,AP Wi-Fi 6 cilíndrico de alto rendimiento para interiores o exteriores con protección IPX5.,3890.0,18,Redes inalámbricas,Ubiquiti,Blanco,0.4 kg
Punto de Acceso Ubiquiti U6-IW,Access Point Wi-Fi 6 de pared con switch de 4 puertos Gigabit integrados.,3650.0,12,Redes inalámbricas,Ubiquiti,Blanco,0.45 kg
Extensor Wi-Fi Ubiquiti U6-Extender,Extensor de rango Wi-Fi 6 inalámbrico que se conecta directamente a un enchufe de pared estándar.,2890.0,15,Redes inalámbricas,Ubiquiti,Blanco,0.29 kg
Switch Ubiquiti USW-Flex-Mini,Switch administrable compacto de 5 puertos Gigabit Ethernet con opciones de alimentación PoE.,720.0,50,Switches,Ubiquiti,Blanco,0.15 kg
Switch Ubiquiti USW-Lite-8-PoE,Switch de 8 puertos Gigabit con 4 puertos PoE+ auto-detectables y presupuesto de 52W.,2490.0,25,Switches,Ubiquiti,Blanco,0.45 kg
Switch Ubiquiti USW-Lite-16-PoE,Switch de 16 puertos Gigabit con 8 puertos PoE+ auto-detectables (presupuesto 45W).,4350.0,18,Switches,Ubiquiti,Blanco,1.2 kg
Switch Ubiquiti US-8-60W,Switch PoE clásico de 8 puertos Gigabit con 4 puertos PoE 802.3af (presupuesto total 60W).,2350.0,20,Switches,Ubiquiti,Gris claro,0.43 kg
Switch Ubiquiti US-8-150W,Switch administrable PoE+ de 8 puertos Gigabit y 2 puertos SFP (150W de capacidad).,4500.0,12,Switches,Ubiquiti,Gris claro,1.7 kg
Switch Ubiquiti US-16-150W,Switch de 16 puertos Gigabit PoE+ con 2 puertos SFP para racks (capacidad 150W).,6390.0,10,Switches,Ubiquiti,Gris claro,2.8 kg
Switch Ubiquiti USW-24-PoE,"Switch administrable con pantalla táctil de 24 puertos Gigabit (16 puertos PoE+, 95W) y 2 SFP.",7900.0,8,Switches,Ubiquiti,Gris,3.0 kg
Switch Ubiquiti USW-Pro-24-PoE,"Switch L3 de 24 puertos Gigabit con 16 puertos PoE+, 8 puertos PoE++ (400W) y 2 puertos SFP+.",13900.0,5,Switches,Ubiquiti,Gris,4.3 kg
Switch Ubiquiti USW-48-PoE,"Switch L2 administrable de 48 puertos Gigabit (32 PoE+, 195W) y 4 puertos SFP.",12900.0,6,Switches,Ubiquiti,Gris,4.7 kg
Switch Ubiquiti USW-Pro-48-PoE,Switch L3 administrable de 48 puertos con PoE+ y PoE++ (600W de presupuesto) y 4 puertos SFP+.,22500.0,3,Switches,Ubiquiti,Gris,6.2 kg
Switch Ubiquiti USW-Pro-24,Switch L3 administrable de 24 puertos Gigabit y 2 puertos 10Gb SFP+ sin PoE.,8600.0,6,Switches,Ubiquiti,Gris,3.5 kg
Switch Ubiquiti USW-Pro-48,Switch L3 administrable de 48 puertos Gigabit y 4 puertos 10Gb SFP+ sin PoE.,14900.0,4,Switches,Ubiquiti,Gris,5.2 kg
Switch Ubiquiti USW-Flex,Switch Gigabit exterior de 5 puertos resistente al clima con capacidad de paso PoE.,2100.0,15,Switches,Ubiquiti,Blanco,0.5 kg
Router Ubiquiti EdgeRouter X,Router Gigabit cableado ultracompacto de 5 puertos con soporte PoE pasivo passthrough.,1290.0,30,Redes cableadas,Ubiquiti,Negro,0.17 kg
Router Ubiquiti EdgeRouter X-SFP,Router Gigabit con 5 puertos RJ45 PoE pasivos de 24V y 1 puerto SFP para fibra.,1890.0,25,Redes cableadas,Ubiquiti,Negro,0.23 kg
Router Ubiquiti EdgeRouter 4,Router de alto rendimiento con 3 puertos Gigabit y 1 puerto SFP (capacidad de 3.4M pps).,4200.0,10,Redes cableadas,Ubiquiti,Negro,0.79 kg
Router Ubiquiti EdgeRouter 6P,Router de alto rendimiento con 5 puertos Gigabit PoE y 1 puerto SFP para conectividad de fibra.,5490.0,8,Redes cableadas,Ubiquiti,Negro,0.85 kg
Router Ubiquiti EdgeRouter 12,"Router Gigabit con 10 puertos RJ45, 2 puertos SFP y funciones avanzadas de capa 3.",6390.0,6,Redes cableadas,Ubiquiti,Negro,1.3 kg
Router Ubiquiti EdgeRouter Infinity,Router de fibra de 8 puertos SFP+ 10G y 1 puerto Gigabit Ethernet para aplicaciones masivas.,38900.0,2,Redes cableadas,Ubiquiti,Negro,4.9 kg
Switch Ubiquiti EdgeSwitch 8 150W,Switch L2 administrable con 8 puertos Gigabit PoE+ (150W) y 2 puertos SFP para racks.,4390.0,10,Switches,Ubiquiti,Negro,1.7 kg
Switch Ubiquiti EdgeSwitch 16 150W,Switch administrable PoE+ de 16 puertos Gigabit y 2 puertos SFP (150W).,6200.0,8,Switches,Ubiquiti,Negro,2.8 kg
Switch Ubiquiti EdgeSwitch 24 250W,Switch administrable PoE+ de 24 puertos Gigabit y 2 puertos SFP (250W de presupuesto).,9500.0,5,Switches,Ubiquiti,Negro,3.7 kg
Switch Ubiquiti EdgeSwitch 48 500W,Switch administrable de alta densidad con 48 puertos Gigabit PoE+ y 2 SFP+ (500W).,18900.0,3,Switches,Ubiquiti,Negro,5.8 kg
